Type,Audio File,IDK,Start Time,Duration,N/A,N/A,ID,N/A,N/A
SPEAKER,test,1,0.258,4.691,,,SPEAKER_00,,
SPEAKER,test,1,5.067,1.114,,,SPEAKER_00,,
SPEAKER,test,1,10.518,4.742,,,SPEAKER_00,,
SPEAKER,test,1,15.445,1.266,,,SPEAKER_01,,
SPEAKER,test,1,16.829,1.367,,,SPEAKER_00,,
SPEAKER,test,1,19.208,1.485,,,SPEAKER_00,,
SPEAKER,test,1,23.63,0.793,,,SPEAKER_01,,
SPEAKER,test,1,25.098,2.481,,,SPEAKER_01,,
SPEAKER,test,1,28.591,1.164,,,SPEAKER_01,,
SPEAKER,test,1,30.312,6.564,,,SPEAKER_01,,
SPEAKER,test,1,37.602,2.008,,,SPEAKER_01,,
SPEAKER,test,1,40.049,2.599,,,SPEAKER_01,,
SPEAKER,test,1,42.749,4.337,,,SPEAKER_01,,
